District,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20
AL-01,-87.97716,30.86504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,5,6,8,15,18,27,32,59,65,71,79,96,111,153,173,188,215,288,360,445,476,529,560,610,637,699,739,775,784,821,849,911,960,1008,1052,1115,1156,1215,1262,1316,1358,1428,1466,1503,1531,1581,1642,1702,1767,1825,1847,1878,1918,1972,2044,2098,2146,2187,2215,2260,2323,2383,2443,2500,2538,2579,2610,2669,2702,2759,2811,2861,2903,2924,2964,2993,3059,3136,3181,3223,3302,3372,3436,3510,3565,3637,3674,3724,3788,3894,3951,4032,4072,4148,4288,4382,4520,4689,4752,4936,5111,5208,5404,5663,5792,5893,6014,6218,6430,6624,6929,7141,7371,7648,7832,8197,8477,8820,9145,9464,9703,9971,10250,10746,11174,11508,11786,12048,12274,12589,12982,13337,13781,14412,14568,14723,14888,15219,15493,16060,16228,17084,17239,17409,17530,17676,17871,18007,18089,18207,18410,18615,18750,18887,18958,19024,19097,19408,19531,19643,19853,20028,20108,20215,20285,20400,20496,20594,20660,20718,20776,20869,20989,21081,21188,21287,21344,21389,21467,21539,21594,21656,21702,21796,21926,21999,22078,22431,22511,22657,22748,22826,22936,23397,23466,23597,23691,23711,23776,23868,23934,24046,24158,24212,24258,24344,24418,24521,24618,24728,24810,24842,24934,25052,25198,27761,27858,27968,28030,28161,28290,28425,28594,28739,28830,28891,29024,29216,29373,29528,29654,29777,29849,30153,30161,30361,30566,30773,30996,31161,31255,31471,31723,31982,32247,32468,32614,32741,33022,33255,33472,33545,33860,34005,34140,34549,34912,35288,35664,35945,36174,36600,36964,37325,37848,38331
AL-02,-86.02973,31.87284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4,6,7,8,9,9,9,16,20,34,41,49,52,59,69,72,87,106,132,145,162,174,184,213,251,266,290,340,385,429,488,518,527,575,611,643,681,712,748,781,802,827,845,897,930,972,1021,1099,1181,1242,1286,1325,1412,1463,1548,1640,1723,1838,1885,1982,2076,2157,2255,2355,2473,2566,2697,2813,2913,3011,3259,3507,3622,3783,3930,4056,4217,4323,4395,4446,4548,4741,4854,4993,5153,5308,5579,5762,6031,6380,6571,6645,6749,6986,7128,7282,7347,7431,7558,7773,7944,8105,8254,8273,8531,8655,8754,8908,9108,9255,9392,9553,9682,9925,10094,10263,10480,10672,10907,11111,11341,11584,11802,12151,12493,12781,13020,13232,13513,13843,14230,14459,14746,14978,15172,15381,15695,15892,16176,16329,16475,16608,16876,17147,17400,17581,17680,17853,18081,18201,18367,18529,18654,18783,19035,19212,19442,19617,20195,20286,20426,20502,20686,20868,21028,21307,21549,21653,21882,22078,22235,22407,22554,22612,22730,22795,22948,23179,23314,23498,23694,23874,23992,24166,24266,24510,24722,24869,24939,25124,25233,25389,25599,25893,25988,26069,26181,26337,26449,26606,27303,27391,27475,27575,27744,27847,28122,28317,28436,28568,28720,28886,29100,29277,29487,29642,29787,29973,30127,30366,30596,31541,31723,31864,32026,32248,32493,32684,33047,33191,33345,33524,33754,33925,34170,34374,34568,34758,35009,35011,35311,35572,35938,36203,36467,36668,36858,37150,37423,37674,37935,38142,38338,38661,38950,39197,39267,39460,39701,39953,40383,40864,41224,41663,42018,42278,42503,43055,43466,44142,44571
AL-03,-85.72740,33.20658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,11,14,16,17,25,32,50,79,90,107,126,143,183,191,223,276,321,340,371,411,460,576,641,671,711,811,853,900,959,999,1014,1069,1105,1139,1198,1241,1274,1300,1315,1340,1352,1376,1392,1418,1430,1462,1495,1512,1541,1563,1599,1622,1641,1663,1692,1716,1741,1762,1781,1805,1827,1839,1859,1887,1911,1930,1959,1994,2036,2076,2096,2144,2171,2197,2236,2259,2279,2304,2322,2377,2416,2455,2492,2548,2620,2671,2761,2825,2911,2926,2991,3070,3143,3192,3235,3295,3366,3487,3594,3683,3770,3777,3944,4117,4200,4375,4587,4728,4837,4936,5030,5180,5407,5556,5739,5861,6112,6318,6600,6877,7127,7344,7588,7801,8016,8174,8381,8628,8853,9059,9323,9519,9763,9943,10247,10396,10656,10826,10971,11120,11387,11665,11843,11951,12083,12233,12352,12447,12516,12669,12772,12845,13144,13380,13568,13704,13900,14003,14093,14215,14583,15283,15503,15846,16015,16237,16605,16737,16953,17213,17434,17513,17644,17698,17823,18023,18245,18430,18619,18710,18855,18994,19100,19249,19549,19655,19792,19897,19980,20177,20378,20472,20559,20630,20731,20879,20997,21138,21364,21460,21533,21623,21784,21886,22114,22259,22350,22439,22632,22751,22899,23092,23330,23426,23522,23691,23812,23990,24152,24589,24733,24822,25024,25223,25462,25613,25868,25988,26088,26289,26540,26724,26913,27112,27254,27366,27581,27593,27778,28018,28417,28676,29005,29152,29303,29615,29874,30153,30438,30607,30756,31066,31354,31716,31807,31996,32222,32548,33132,33526,33993,34397,34707,34922,35193,35777,36131,36633,37046
AL-04,-86.97575,33.99235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,5,5,5,8,11,13,15,20,26,57,68,89,101,104,112,117,123,145,191,211,258,303,334,359,425,448,490,561,574,590,616,635,650,690,719,762,805,885,921,946,979,1030,1048,1070,1089,1121,1165,1210,1264,1320,1443,1516,1595,1690,1741,1810,1881,1931,1979,2035,2097,2168,2239,2314,2389,2470,2551,2598,2666,2750,2916,3048,3122,3219,3366,3457,3562,3634,3676,3713,3782,3933,4011,4073,4153,4246,4418,4594,4862,5032,5216,5298,5445,5664,5859,5952,6061,6150,6298,6602,6840,7057,7283,7346,7550,7757,7984,8227,8574,8709,8871,8969,9179,9445,9856,10107,10359,10646,11020,11334,11648,12004,12376,12677,13021,13275,13509,13720,14043,14420,14795,14983,15380,15606,15812,16244,16576,16790,17079,17291,17445,17581,17959,18213,18508,18657,18812,18961,19136,19260,19377,19527,19679,19899,20240,20517,20778,21067,21340,21495,21694,21787,22198,22525,22788,23097,23263,23363,23606,23703,23906,24035,24323,24414,24599,24743,24896,25052,25215,25344,25576,25697,25839,26094,26234,26439,26712,26895,27094,27224,27353,27589,28750,28928,29086,29256,29462,29764,29931,30128,30339,30531,30637,30828,31078,31190,31461,31698,31902,32059,32367,32545,32797,33053,33318,33584,33872,34073,34360,34724,35097,35321,35605,35849,36125,36415,36746,37029,37498,37975,38143,38385,38922,39215,39599,39994,40306,40538,40905,40910,41426,41836,42588,43162,43573,43841,44187,44912,45425,45969,46477,46891,47163,47911,48504,49135,49354,49754,50233,50762,51437,52477,53285,54190,54926,55373,55732,56912,57715,58764,59533
AL-05,-86.75267,34.72408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,6,10,17,26,35,45,72,92,117,135,144,168,176,183,206,218,222,238,247,259,277,295,300,309,317,322,331,336,341,342,348,353,360,367,371,375,386,398,411,417,427,432,436,450,467,475,484,496,502,526,543,556,565,574,585,601,622,636,644,654,662,671,689,706,719,738,751,792,833,851,885,912,939,993,1010,1024,1039,1065,1137,1166,1212,1271,1330,1392,1467,1580,1702,1798,1835,1879,1982,2033,2103,2148,2180,2236,2340,2484,2605,2714,2719,2877,2968,3076,3218,3442,3575,3688,3781,3878,4084,4359,4644,4928,5178,5521,5757,6157,6366,6608,6958,7213,7395,7587,7756,7994,8209,8427,8625,8826,8998,9173,9497,9704,9886,10131,10265,10442,10575,10734,10931,11112,11251,11393,11456,11605,11693,11784,11934,12018,12103,12266,12373,12471,12555,12647,12720,12763,12816,13042,13155,13248,13428,13556,13629,13771,13842,13936,14031,14165,14228,14291,14340,14406,14480,14611,14742,14848,14931,15006,15144,15274,15395,15588,15722,15802,15905,16002,16106,16250,16361,16466,16569,16630,16718,16850,17017,17175,17315,17440,17561,17699,17816,18036,18210,18364,18490,18599,18744,18941,19157,19350,19511,19612,19750,19920,20113,20327,20559,20767,20884,21040,21212,21444,21708,21919,22451,22625,22780,22994,23242,23468,23734,23973,24192,24424,24431,24804,25210,25714,26050,26375,26681,26953,27348,27784,28262,28690,29004,29385,29775,30233,30714,30947,31382,31882,32311,32762,33375,34042,34807,35495,35956,36402,37057,37761,38417,39067
AL-06,-86.67521,33.31970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,11,15,20,21,28,41,64,72,96,98,104,120,121,127,145,166,175,200,209,220,229,254,264,274,309,328,337,348,356,360,382,395,402,409,418,428,446,450,468,477,482,484,485,492,496,505,513,522,528,542,553,559,567,574,583,590,600,609,620,625,634,642,648,656,663,674,684,705,732,746,769,789,801,821,827,829,838,848,859,872,880,900,918,946,966,1006,1045,1084,1092,1128,1174,1219,1240,1256,1283,1334,1397,1444,1504,1556,1561,1645,1698,1750,1789,1889,1948,2019,2086,2120,2232,2367,2453,2596,2673,2788,2869,2986,3143,3270,3393,3553,3661,3760,3870,3999,4164,4306,4391,4498,4563,4681,4798,4945,5046,5144,5240,5298,5367,5515,5633,5739,5797,5858,5926,5991,6037,6088,6149,6210,6260,6342,6442,6532,6618,6686,6727,6766,6832,7033,7135,7249,7422,7645,7711,7880,7913,7998,8080,8199,8267,8352,8410,8479,8578,8700,8776,8871,8939,9024,9093,9171,9294,9397,9469,9531,9616,9669,9764,9885,9973,10016,10054,10100,10215,10290,10369,10458,10531,10581,10637,10708,10743,10885,10979,11042,11097,11180,11242,11346,11442,11545,11624,11690,11787,11883,11982,12100,12175,12282,12350,12470,12561,12649,12743,12857,12963,13040,13150,13264,13386,13499,13624,13731,13850,14015,14016,14183,14325,14563,14744,14893,15007,15124,15359,15553,15689,15848,16069,16186,16400,16555,16757,16824,16994,17195,17437,17716,17977,18230,18518,18779,18922,19116,19473,19737,20143,20412
AL-07,-87.02824,33.33936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,13,19,22,28,39,49,68,78,85,101,148,184,194,230,261,278,307,336,382,425,461,488,520,563,600,643,687,743,769,798,817,861,877,889,940,974,1008,1033,1105,1145,1181,1215,1243,1267,1306,1336,1397,1454,1500,1554,1601,1651,1693,1739,1799,1850,1890,1940,1995,2054,2116,2197,2288,2350,2419,2531,2603,2686,2788,2878,2948,3022,3093,3157,3247,3335,3428,3510,3569,3607,3650,3704,3804,3900,3983,4076,4182,4332,4474,4655,4815,4965,5015,5118,5277,5400,5505,5604,5711,5831,6002,6190,6406,6637,6655,7020,7283,7505,7726,8077,8248,8516,8683,8825,9052,9442,9743,10086,10401,10785,10947,11355,11743,12125,12484,12849,13117,13373,13598,13918,14247,14676,14885,15127,15318,15508,15807,16160,16475,16701,16939,17148,17318,17633,17962,18233,18389,18556,18723,18911,19051,19168,19417,19586,19688,19858,20081,20290,20426,20557,20620,20719,20796,21240,21407,21582,21926,22099,22243,22541,22676,22812,22963,23104,23220,23356,23459,23584,23760,23972,24129,24271,24366,24514,24702,24839,24973,25144,25266,25371,25510,25623,25794,25970,26101,26193,26278,26420,26735,26858,27003,27166,27262,27340,27476,27604,27669,28019,28276,28392,28503,28672,28810,29016,29206,29399,29540,29677,29870,30056,30232,30404,30524,30753,30924,31092,31318,31556,31742,32004,32215,32326,32540,32814,33062,33351,33639,33909,34112,34436,34440,34774,35110,35624,36012,36348,36628,36952,37379,37869,38379,38852,39179,39511,40030,40467,40966,41130,41547,41991,42373,42921,43697,44297,44960,45719,46252,46683,47427,48052,48975,49815
AK-00,-149.65677,61.63520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,9,12,15,16,26,39,43,50,64,75,92,111,119,129,142,150,161,172,187,193,215,228,238,249,261,276,281,289,297,305,314,319,324,326,334,340,342,344,344,346,350,356,360,360,369,370,373,375,376,377,380,383,385,386,388,390,391,396,398,403,408,411,411,416,416,418,423,423,426,430,431,444,450,455,484,491,512,531,559,572,586,595,614,627,649,676,697,731,743,747,761,786,805,833,856,870,881,915,938,982,1011,1038,1070,1095,1142,1184,1234,1294,1349,1382,1410,1434,1485,1536,1590,1667,1783,1854,1914,1971,2048,2100,2177,2293,2433,2537,2644,2722,2786,2902,3134,3245,3378,3470,3589,3700,3850,3993,4069,4136,4195,4241,4309,4395,4495,4563,4617,4684,4784,4889,4974,5078,5128,5199,5276,5361,5433,5523,5590,5662,5698,5752,5841,5960,6055,6104,6142,6178,6245,6335,6461,6551,6648,6683,6717,6782,6896,6992,7096,7158,7235,7279,7330,7442,7552,7648,7756,7827,7887,7964,8106,8233,8352,8464,8581,8703,8809,8949,9092,9232,9375,9574,9723,9845,9984,10170,10402,10652,10845,11004,11172,11339,11562,11772,11986,12189,12420,12644,12881,13130,13487,14009,14356,14736,15091,15462,15844,16291,16637,16988,17377,17787,18097,18620,19226,19745,20218,20748,21250,21730,22319,23056,23710,24293,24929,25476,25966,26426,27102,27644,28144,28731,29405,29959,30625,31289,31909,32418,32954,33638,34396,35155,36092,36856,37355,37924,38515,39142,39769
AZ-01,-111.30685,34.47719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,5,6,6,6,7,11,16,22,39,48,65,78,92,119,145,174,196,250,260,279,340,380,449,495,531,575,610,715,725,805,847,899,946,997,1079,1147,1226,1275,1328,1384,1464,1582,1669,1749,1820,1881,1959,2031,2179,2275,2366,2441,2518,2652,2760,2869,3032,3154,3212,3285,3346,3567,3697,3862,3989,4085,4149,4291,4417,4547,4649,4713,4816,4872,4927,5112,5214,5484,5699,5838,5860,6062,6177,6322,6522,6711,6869,6941,7018,7325,7587,7790,8062,8109,8232,8556,8676,9007,9390,9552,9816,9959,10525,10759,11102,11384,11598,12116,12249,12606,13070,13427,13947,14118,14422,14726,15161,15511,15966,16409,16762,17048,17108,17749,18127,18464,18872,19232,19461,19502,20028,20158,20477,20928,21267,21436,21615,21860,22025,22313,22557,22949,23123,23253,23313,23399,23469,23629,23701,23823,23854,24063,24171,24326,24416,24544,24607,24695,24910,25017,25167,25277,25391,25446,25484,25614,25654,25899,26023,26126,26156,26197,26307,26456,26562,26721,26901,26960,26993,26989,27124,27236,27284,27347,27427,27444,27494,27629,27718,27986,27995,28050,28068,28156,28277,28462,28608,28743,28798,28847,28970,29077,29185,29259,29361,29413,29440,29617,29728,29875,29969,30140,30201,30283,30394,30558,30879,31003,31178,31214,31297,31558,31727,31915,32076,32274,32446,32550,32728,32938,33224,33423,33777,33958,34030,34352,34507,34892,35160,35691,35871,35982,36525,36867,37133,37505,38119,38392,38603,39191,39708,40398,41252,41934,42338,42665,43522,43907,44585,45096,45672,46241,46416,47432,47999,48837,49695,50792,51510,51846,53418,53901,54879,56010
AZ-02,-109.75161,31.87935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4,4,4,5,7,8,9,9,9,11,11,13,15,16,15,15,18,20,22,24,28,29,31,31,34,36,36,36,37,38,39,39,39,39,39,39,40,40,41,41,41,42,43,43,44,45,46,46,46,46,46,51,56,58,59,59,64,63,67,67,72,74,76,89,94,105,120,122,141,149,156,167,171,178,206,216,221,241,248,267,332,362,363,372,432,441,468,509,538,561,580,614,657,678,710,740,791,826,855,884,905,980,1020,1049,1062,1095,1131,1140,1186,1217,1258,1260,1287,1296,1311,1319,1363,1388,1399,1422,1442,1467,1503,1523,1536,1557,1554,1560,1565,1573,1600,1603,1611,1730,1732,1747,1751,1760,1761,1762,1772,1769,1775,1780,1791,1795,1795,1798,1802,1805,1809,1815,1815,1816,1824,1830,1832,1838,1842,1841,1841,1845,1847,1855,1856,1860,1860,1860,1861,1862,1872,1873,1878,1881,1881,1887,1886,1889,1893,1901,1905,1903,1905,1911,1912,1918,1918,1919,1919,1928,1934,1937,1944,1954,1965,1965,1972,1986,2005,2015,2025,2032,2034,2062,2075,2093,2098,2105,2122,2121,2125,2150,2171,2193,2204,2205,2205,2256,2272,2307,2331,2381,2384,2384,2483,2539,2572,2622,2679,2705,2704,2777,2807,2828,3020,3079,3137,3137,3272,3350,3434,3529,3596,3639,3639,3781,3863,3954,4106,4252,4342,4342,4663,4747,4829,4925
